code,label
class Solution {     public int returnToBoundaryCount(int[] nums) {         int currPosition = 0;         int count = 0;         for (int num : nums) {             currPosition += num;             if (currPosition == 0) {                 count++;             }         }         return count;     } } ,O(n)
"class Solution {     public int minimumBoxes(int[] apple, int[] capacity) {         int totalApples = 0;         for (int count : apple) {             totalApples  += count;         }         Arrays.sort(capacity);         int idx = capacity.length - 1;         int currCapacity = capacity[idx--];         while (totalApples > 0) {             int applesDeleted = Math.min(currCapacity, totalApples);             totalApples -= applesDeleted;             currCapacity -= applesDeleted;             if (currCapacity == 0 && totalApples > 0) {                 currCapacity = capacity[idx--];             }         }         return capacity.length - idx - 1;     } } ",O(n log n)
class Solution {     public int[] applyOperations(int[] nums) {         int n = nums.length;         for (int i = 0; i < n - 1; i++) {             if (nums[i] == nums[i + 1]) {                 nums[i] *= 2;                 nums[i + 1] = 0;             }         }         int start = 0;         for (int i = 0; i < n; i++) {             if (nums[i] != 0) {                 nums[start++] = nums[i];             }         }         while (start < n) {             nums[start++] = 0;         }         return nums;     } } ,O(n^2)
"class Solution {     public boolean isArmstrong(int N) {         int n = getLength(N);         return getNthPowerSum(N, n) == N;     }      private int getNthPowerSum(int n, int p) {         int sum = 0;         while (n > 0) {             int temp = n % 10;             n /= 10;             sum += (int) Math.pow(temp, p);         }          return sum;     }      private int getLength(int n) {         int count = 0;         while (n > 0) {             n /= 10;             count++;         }          return count;     } } ",O(n^2)
class Solution {   public int arrangeCoins(int n) {     long left = 1;     long right = n;     while (left <= right) {       long mid = (left + right) / 2;       long sum = mid * (mid + 1) / 2;       if (sum == n) {         return (int) mid;       } else if (sum > n) {         right = mid - 1;       } else {         left = mid + 1;       }     }     return (int) right;   } } ,O(n)
class Solution {   public int arrayPairSum(int[] nums) {     int[] counter = new int[20001];     for (int num : nums) {       counter[num + 10000]++;     }     int sum = 0;     boolean pickFirst = true;     for (int i = 0; i < counter.length; i++) {       while (counter[i] > 0) {         if (pickFirst) {           sum += i - 10000;         }         pickFirst = !pickFirst;         counter[i]--;       }     }     return sum;   } } ,O(n^2)
"class Solution {   public List<Integer> transformArray(int[] arr) {     int[] ans = new int[arr.length];     while (!Arrays.equals(ans, arr)) {       ans = arr.clone();       for (int i = 1; i < arr.length - 1; i++) {         if (ans[i] > ans[i - 1] && ans[i] > ans[i + 1]) {           arr[i]--;         }         else if (ans[i - 1] > ans[i] && ans[i + 1] > ans[i]) {           arr[i]++;         }       }     }     return Arrays.stream(ans).boxed().collect(Collectors.toList());   } } ",O(n^2)
"class Solution {     public int findContentChildren(int[] greed, int[] cookieSize) {         Arrays.sort(greed);         Arrays.sort(cookieSize);         int idx = 0;         for (int i = 0; i < cookieSize.length && idx < greed.length; i++) {             if (cookieSize[i] >= greed[idx]) {                 idx++;             }         }         return idx;     } } ",O(n log n)
"class Solution {   int[][] dirs = {{0, 1}, {1, 0}, {-1, 0}, {0, -1}};   public int numRookCaptures(char[][] board) {     for (int i = 0; i < board.length; i++) {       for (int j = 0; j < board[i].length; j++) {         if (board[i][j] == 'R') {           return getPawnCount(board, i, j);         }       }     }     return 0;   }      private int getPawnCount(char[][] board, int i, int j) {     int count = 0;     for (int[] dir : dirs) {       int newX = i + dir[0];       int newY = j + dir[1];       while (newX >= 0 && newX < board.length && newY >= 0 && newY < board[0].length) {         if (board[newX][newY] == 'p') {           count++;           break;         }         else if (board[newX][newY] == 'B') {           break;         }         newX = newX + dir[0];         newY = newY + dir[1];       }     }     return count;   } } ",O(n^2)
"/**  * Definition for a binary tree node.  * public class TreeNode {  *     int val;  *     TreeNode left;  *     TreeNode right;  *     TreeNode() {}  *     TreeNode(int val) { this.val = val; }  *     TreeNode(int val, TreeNode left, TreeNode right) {  *         this.val = val;  *         this.left = left;  *         this.right = right;  *     }  * }  */ class Solution {   public List<Double> averageOfLevels(TreeNode root) {     List<Double> result = new ArrayList<>();     Queue<TreeNode> queue = new LinkedList<>();     queue.add(root);     while (!queue.isEmpty()) {       int size = queue.size();       double total = 0.0;       for (int i = 0; i < size; i++) {         TreeNode removed = queue.remove();         total += removed.val;         if (removed.left != null) {           queue.add(removed.left);         }         if (removed.right != null) {           queue.add(removed.right);         }       }       result.add(total / size);     }     return result;   } } ",O(n^2)
"class Solution {     public double average(int[] salary) {         int minSalary = salary[0];         int maxSalary = salary[0];         double totalSalary = 0;         for (int s : salary) {             minSalary = Math.min(minSalary, s);             maxSalary = Math.max(maxSalary, s);             totalSalary += s;         }         return (totalSalary - minSalary - maxSalary) / (salary.length - 2);     } } ",O(n)
class Solution {   public int averageValue(int[] nums) {     int total = 0;     int count = 0;     for (int num : nums) {       if (num % 2 == 0 && num % 3 == 0) {         total += num;         count++;       }     }     return count == 0 ? 0 : total / count;   } } ,O(n)
"class Solution {     public boolean backspaceCompare(String s, String t) {         return buildBackspaceString(s).equals(buildBackspaceString(t));     }      private static String buildBackspaceString(String s) {         Stack<Character> stack = new Stack<>();         for (char c : s.toCharArray()) {             if (c == '#') {                 if (!stack.isEmpty()) {                     stack.pop();                 }             } else {                 stack.push(c);             }         }         StringBuilder sb = new StringBuilder();         for (char c : stack) {             sb.append(c);         }         return sb.toString();     } } ",O(n^2)
"/**  * Definition for a binary tree node.  * public class TreeNode {  *     int val;  *     TreeNode left;  *     TreeNode right;  *     TreeNode() {}  *     TreeNode(int val) { this.val = val; }  *     TreeNode(int val, TreeNode left, TreeNode right) {  *         this.val = val;  *         this.left = left;  *         this.right = right;  *     }  * }  */ class Solution {   public boolean isBalanced(TreeNode root) {     if (root == null) {       return true;     }     Map<TreeNode, Integer> map = new HashMap<>();     int leftHeight = getHeight(root.left, map);     int rightHeight = getHeight(root.right, map);     if (Math.abs(leftHeight - rightHeight) > 1) {       return false;     }     return isBalanced(root.left) && isBalanced(root.right);   }      private int getHeight(TreeNode root, Map<TreeNode, Integer> map) {     if (root == null) {       return 0;     }     if (map.containsKey(root)) {       return map.get(root);     }     int height = 1 + Math.max(getHeight(root.left, map), getHeight(root.right, map));     map.put(root, height);     return height;   } } ",O(n)
"class Solution {     public String convertToBase7(int num) {         StringBuilder sb = new StringBuilder();         boolean isNegative = num < 0;         num = Math.abs(num);         while (num > 0) {             sb.append(num % 7);             num /= 7;         }         if (isNegative) {             sb.append('-');         }         return sb.isEmpty() ? ""0"" : sb.reverse().toString();     } } ",O(n)
"class Solution {   public int calPoints(String[] ops) {     Stack<Integer> stack = new Stack<>();     int totalScore = 0;     for (String op : ops) {       if (op.equals(""D"")) {         int newScore = 2 * stack.peek();         totalScore += newScore;         stack.push(newScore);       } else if (op.equals(""C"")) {         totalScore -= stack.pop();       } else if (op.equals(""+"")) {         int scoreTwo = stack.pop();         int newScore = scoreTwo + stack.peek();         stack.push(scoreTwo);         stack.push(newScore);         totalScore += newScore;       } else {         stack.push(Integer.parseInt(op));         totalScore += Integer.parseInt(op);       }     }     return totalScore;   } } ",O(n)
"class Solution {   public String bestHand(int[] ranks, char[] suits) {     char suitCard = '-';     for (int i = 0; i < suits.length; i++) {       if (suitCard != '-' && suitCard != suits[i]) {         break;       }       if (suitCard == '-') {         suitCard = suits[i];       }       if (i == suits.length - 1) {         return ""Flush"";       }     }     Map<Integer, Integer> frequencyMap = new HashMap<>();     boolean pairFound = false;     for (int rank : ranks) {       frequencyMap.put(rank, frequencyMap.getOrDefault(rank, 0) + 1);       if (frequencyMap.get(rank) == 3) {         return ""Three of a Kind"";       }       if (frequencyMap.get(rank) == 2) {         pairFound = true;       }     }     return pairFound ? ""Pair"" : ""High Card"";   } } ",O(n^2)
"class Solution {   public int maxProfit(int[] prices) {     int minPrice = prices[0];     int maxProfit = 0;     for (int price : prices) {       if (price < minPrice) {         minPrice = price;       }       maxProfit = Math.max(maxProfit, price - minPrice);     }     return maxProfit;   } } ",O(n)
"class Solution {     public int binaryGap(int n) {         int lastOnePosition = -1;         int currPosition = 0;         int maxGap = 0;         while (n > 0) {             int rem = n % 2;             n /= 2;             if (rem == 1) {                 if (lastOnePosition != -1) {                     maxGap = Math.max(maxGap, currPosition - lastOnePosition);                 }                 lastOnePosition = currPosition;             }             currPosition++;         }         return maxGap;     } } ",O(n)
class Solution {   public boolean hasAlternatingBits(int n) {     Integer prev = null;     while (n > 0) {       int rem = n % 2;       n /= 2;       if (prev == null || prev != rem) {         prev = rem;       } else {         return false;       }     }     return true;   } } ,O(n)
class Solution {     public List<Boolean> prefixesDivBy5(int[] A) {         List<Boolean> list = new ArrayList<>();          int currSum = 0;         for (int i = 0; i < A.length; i++) {             currSum = 2 * currSum + A[i];             currSum %= 5;             list.add(currSum % 5 == 0);         }          return list;     } } ,O(n)
"class Solution {   public int search(int[] nums, int target) {     int start = 0;     int end = nums.length - 1;     while (start <= end) {       int mid = (start + end) / 2;       if (nums[mid] == target) {         return mid;       } else if (nums[mid] < target) {         start = mid + 1;       } else {         end = mid - 1;       }     }     return -1;   } } ",O(n)
"/**  * Definition for a binary tree node.  * public class TreeNode {  *     int val;  *     TreeNode left;  *     TreeNode right;  *     TreeNode() {}  *     TreeNode(int val) { this.val = val; }  *     TreeNode(int val, TreeNode left, TreeNode right) {  *         this.val = val;  *         this.left = left;  *         this.right = right;  *     }  * }  */ class Solution {   public List<Integer> inorderTraversal(TreeNode root) {     if (root == null) {       return List.of();     }     Stack<TreeNode> stack = new Stack<>();     while (root != null) {       stack.push(root);       root = root.left;     }     List<Integer> result = new ArrayList<>();     while (!stack.isEmpty()) {       TreeNode removed = stack.pop();       result.add(removed.val);       TreeNode rightNode = removed.right;       while (rightNode != null) {         stack.push(rightNode);         rightNode = rightNode.left;       }     }     return result;   } } ",O(n^2)
/**  * Definition for a binary tree node.  * public class TreeNode {  *     int val;  *     TreeNode left;  *     TreeNode right;  *     TreeNode(int x) { val = x; }  * }  */ class Solution {   public List<List<Integer>> levelOrderBottom(TreeNode root) {     List<List<Integer>> list = new ArrayList<>();     if (root == null) {       return list;     }     Queue<TreeNode> queue = new LinkedList<>();     queue.add(root);     while (!queue.isEmpty()) {       int size = queue.size();       List<Integer> temp = new ArrayList<>();       while (size-- > 0) {         TreeNode removed = queue.remove();         temp.add(removed.val);         if (removed.left != null) {           queue.add(removed.left);         }         if (removed.right != null) {           queue.add(removed.right);         }       }       list.add(temp);     }     Collections.reverse(list);     return list;   } } ,O(n^2)
"/**  * Definition for a binary tree node.  * public class TreeNode {  *     int val;  *     TreeNode left;  *     TreeNode right;  *     TreeNode() {}  *     TreeNode(int val) { this.val = val; }  *     TreeNode(int val, TreeNode left, TreeNode right) {  *         this.val = val;  *         this.left = left;  *         this.right = right;  *     }  * }  */ class Solution {   public List<String> binaryTreePaths(TreeNode root) {     List<String> result = new ArrayList<>();     helper(root, result, new StringBuilder());     return result;   }      private void helper(TreeNode root, List<String> result, StringBuilder path) {     if (root == null) {       return;     }     path.append(root.val);     if (root.left == null && root.right == null) {       result.add(path.toString());     } else {       path.append(""->"");       helper(root.left, result, new StringBuilder(path));       helper(root.right, result, new StringBuilder(path));     }   } } ",O(n)
"/**  * Definition for a binary tree node.  * public class TreeNode {  *     int val;  *     TreeNode left;  *     TreeNode right;  *     TreeNode() {}  *     TreeNode(int val) { this.val = val; }  *     TreeNode(int val, TreeNode left, TreeNode right) {  *         this.val = val;  *         this.left = left;  *         this.right = right;  *     }  * }  */ class Solution {   public List<Integer> postorderTraversal(TreeNode root) {     List<Integer> result = new ArrayList<>();     Stack<TreeNode> stack = new Stack<>();     TreeNode node = root;     while (!stack.isEmpty() || node != null) {       if (node != null) {         stack.push(node);         result.add(node.val);         node = node.right;       } else {           TreeNode removed = stack.pop();         node = removed.left;        }     }     Collections.reverse(result);     return result;   } } ",O(n^2)
"/**  * Definition for a binary tree node.  * public class TreeNode {  *     int val;  *     TreeNode left;  *     TreeNode right;  *     TreeNode() {}  *     TreeNode(int val) { this.val = val; }  *     TreeNode(int val, TreeNode left, TreeNode right) {  *         this.val = val;  *         this.left = left;  *         this.right = right;  *     }  * }  */ class Solution {   public int findTilt(TreeNode root) {     int[] total = {0};     helper(root, total);     return total[0];   }      private int helper(TreeNode root, int[] total) {     if (root == null) {       return 0;     }     int left = helper(root.left, total);     int right = helper(root.right, total);     total[0] += Math.abs(left - right);     return left + right + root.val;   } } ",O(n)
"class Solution {   public List<String> readBinaryWatch(int turnedOn) {     return IntStream.range(0, 12)         .boxed()         .flatMap(             h -> IntStream.range(0, 60)                 .boxed()                 .filter(s -> Integer.bitCount(h) + Integer.bitCount(s) == turnedOn)                 .map(m -> String.format(""%d:%02d"", h, m))         )         .collect(Collectors.toList());   } } ",O(n)
"class Solution {          private static final int SWAP_DONE_IDX = Integer.MIN_VALUE;          public boolean buddyStrings(String s, String goal) {         if (s.length() != goal.length()) {             return false;         }         int swapIdx = -1;         Set<Character> set = new HashSet<>();         for (int i = 0; i < s.length(); i++) {             if (s.charAt(i) == goal.charAt(i)) {                 set.add(s.charAt(i));                 continue;             }             if (s.charAt(i) != goal.charAt(i)) {                 if (swapIdx == SWAP_DONE_IDX) {                     return false;                 }                 if (swapIdx == -1) {                     swapIdx = i;                     continue;                 }                  if (!(s.charAt(swapIdx) == goal.charAt(i) && s.charAt(i) == goal.charAt(swapIdx))) {                     return false;                 }                 swapIdx = SWAP_DONE_IDX;             }         }         return (swapIdx != -1 && swapIdx == SWAP_DONE_IDX) || (swapIdx == -1 && set.size() < s.length());     } } ",O(n)
class Solution {   public int[] buildArray(int[] nums) {     int n = nums.length;     for (int i = 0; i < n; i++) {       nums[i] = nums[i] + n * (nums[nums[i]] % n);     }     for (int i = 0; i < n; i++) {       nums[i] = nums[i] / n;     }     return nums;   } } ,O(n^2)
"class Solution {   public String getHint(String secret, String guess) {     int[] counter = new int[10];     for (Character c : secret.toCharArray()) {       counter[Character.getNumericValue(c)]++;     }     int bulls = 0;     int cows = 0;     for (int i = 0; i < guess.length(); i++) {       if (guess.charAt(i) == secret.charAt(i)) {         bulls++;       }       if (counter[Character.getNumericValue(guess.charAt(i))] > 0) {         counter[Character.getNumericValue(guess.charAt(i))]--;         cows++;       }     }     return bulls + ""A"" + (cows - bulls) + ""B"";   } } ",O(n^2)
class Solution {     public int buttonWithLongestTime(int[][] events) {         int maxTime = 0;         int resultIdx = 0;         int prevTime = 0;         for (int i = 0; i < events.length; i++) {             int timePressed = events[i][1] - prevTime;             if (timePressed > maxTime) {                 maxTime = timePressed;                 resultIdx = events[i][0];             } else if (timePressed == maxTime && resultIdx > events[i][0]) {                 resultIdx = events[i][0];             }             prevTime = events[i][1];         }         return resultIdx;     } } ,O(n)
"class Solution {     public int buyChoco(int[] prices, int money) {         int cheapestChocolate = Math.min(prices[0], prices[1]);         int secondCheapestChocolate = Math.max(prices[0], prices[1]);         for (int i = 2; i < prices.length; i++) {             if (prices[i] < cheapestChocolate) {                 secondCheapestChocolate = cheapestChocolate;                 cheapestChocolate = prices[i];             } else if (prices[i] < secondCheapestChocolate) {                 secondCheapestChocolate = prices[i];             }         }         int totalCost = cheapestChocolate + secondCheapestChocolate;         return totalCost <= money ? (money - totalCost) : money;     } } ",O(n)
"class Solution {   public double calculateTax(int[][] brackets, int income) {     if (income == 0) {       return 0.0;     }     double tax = 0.0;     int idx = 0;     while (idx < brackets.length) {       int[] currentBracket = brackets[idx];       int amount = idx > 0 ? (Math.min(currentBracket[0], income)) - brackets[idx - 1][0] : Math.min(currentBracket[0], income);       double taxPercentage = ((double) currentBracket[1]) / 100;       tax += taxPercentage * amount;       if (income < currentBracket[0]) {         break;       }       idx++;     }     return tax;   } } ",O(n)
"class Solution {     public int findDelayedArrivalTime(int arrivalTime, int delayedTime) {         int newTime = arrivalTime + delayedTime;         return newTime - (newTime >= 24 ? 24 : 0);     } } ",O(1)
"class Solution {   public String digitSum(String s, int k) {     while (s.length() > k) {       s = formDigitSum(s, k);     }     return s;   }      private String formDigitSum(String s, int k) {     StringBuilder sb = new StringBuilder();     for (int i = 0; i < s.length(); i += k) {       int currSum = 0;       for (int j = i; j < Math.min(i + k, s.length()); j++) {         currSum += Character.getNumericValue(s.charAt(j));       }       sb.append(currSum);     }     return sb.toString();   } } ",O(n^2)
"class Solution {   public int totalMoney(int n) {     int totalAmount = 0;     int mondayMoney = 1;     while (n > 0) {       totalAmount += mondayMoney++;       n--;       int daysInWeek = Math.min(6, n);       totalAmount += getCummulativeSum(mondayMoney, daysInWeek);       n -= daysInWeek;     }     return totalAmount;   }      private int getCummulativeSum(int firstTerm, int n) {     if (n <= 0) {       return 0;     }     return ((2 * firstTerm + (n - 1)) * n) / 2;   } } ",O(n)
class Solution {     public boolean canMakeArithmeticProgression(int[] arr) {         Arrays.sort(arr);         int diff = arr[1] - arr[0];         for (int i = 2; i < arr.length; i++) {             if (arr[i] - arr[i - 1] != diff) {                 return false;             }         }         return true;     } } ,O(n log n)
"class Solution {     public boolean canPlaceFlowers(int[] flowerbed, int n) {         for (int i = 0; i < flowerbed.length && n > 0; i++) {             if (canPlaceCheck(i, flowerbed)) {                 flowerbed[i] = 1;                 n--;             }          }         return n == 0;     }          private boolean canPlaceCheck(int i, int[] flowerbed) {         return flowerbed[i] == 0 && (             (i == 0 && (i + 1 == flowerbed.length || flowerbed[i + 1] == 0)) ||              (i == flowerbed.length - 1 && (i - 1 == -1 || flowerbed[i - 1] == 0)) ||              (i != 0 && i != flowerbed.length - 1 && flowerbed[i - 1] == 0 && flowerbed[i + 1] == 0)         );     } } ",O(n)
"class Solution {   public String capitalizeTitle(String title) {     return Arrays.stream(title.split(""\\s+""))         .map(e -> e.length() <= 2 ? e.toLowerCase() :             e.substring(0, 1).toUpperCase() + e.substring(1).toLowerCase())         .collect(Collectors.joining("" ""));   } } ",O(1)
"class Solution {          private static final int BULKY_DIMENSION_THRESHOLD = 1000_0;     private static final int BULKY_VOLUME_THRESHOLD = 1000_000_000;     private static final int HEAVY_MASS_THRESHOLD = 100;          public String categorizeBox(int length, int width, int height, int mass) {         long volume = ((long) length) * width * height;         boolean isBulky = length >= BULKY_DIMENSION_THRESHOLD ||              width >= BULKY_DIMENSION_THRESHOLD ||              height >= BULKY_DIMENSION_THRESHOLD ||              mass >= BULKY_DIMENSION_THRESHOLD ||             volume >= BULKY_VOLUME_THRESHOLD;         boolean isHeavy = mass >= HEAVY_MASS_THRESHOLD;         if (isBulky && isHeavy) {             return ""Both"";         }         if (!(isBulky || isHeavy)) {             return ""Neither"";         }         return isBulky ? ""Bulky"" : ""Heavy"";     } } ",O(1)
"class Solution {   public List<String> cellsInRange(String s) {     List<String> cells = new ArrayList<>();     String[] splits = s.split("":"");     char startCol = splits[0].charAt(0);     int startRow = Character.getNumericValue(splits[0].charAt(1));     char endCol = splits[1].charAt(0);     int endRow = Character.getNumericValue(splits[1].charAt(1));     for (char c = startCol; c <= endCol; c = (char) (c + 1)) {       for (int j = startRow; j <= endRow; j++) {         cells.add(c + """" + j);       }     }     return cells;   } } ",O(n^2)
"class Solution {     public int oddCells(int n, int m, int[][] indices) {         Map<Integer, Integer> rowMap = new HashMap<>();         Map<Integer, Integer> colMap = new HashMap<>();         for (int[] indice : indices) {             rowMap.put(indice[0], rowMap.getOrDefault(indice[0], 0) + 1);             colMap.put(indice[1], colMap.getOrDefault(indice[1], 0) + 1);            }         int count = 0;         for (int i = 0; i < n; i++) {             for (int j = 0; j < m; j++) {                 int temp = 0;                 temp += rowMap.getOrDefault(i, 0);                 temp += colMap.getOrDefault(j, 0);                 count += temp % 2;             }         }         return count;     } } ",O(n^2)
"class Solution {   public boolean canFormArray(int[] arr, int[][] pieces) {     Map<Integer, Integer> indexMap = new HashMap<>();     for (int idx = 0; idx < arr.length; idx++) {       indexMap.put(arr[idx], idx);     }     for (int[] piece : pieces) {       for (int idx = 0; idx < piece.length; idx++) {         if (!indexMap.containsKey(piece[idx]) ||              idx > 0 && indexMap.getOrDefault(piece[idx], -1) < indexMap.getOrDefault(piece[idx - 1], -1)) {           return false;         }       }     }     return true;   } } ",O(n^2)
"class Solution {   public boolean checkDistances(String s, int[] distance) {     Map<Character, Integer> charToIdx = new HashMap<>();     for (int i = 0; i < s.length(); i++) {       if (charToIdx.containsKey(s.charAt(i))) {         int diff = i - charToIdx.get(s.charAt(i)) - 1;         if (diff != distance[s.charAt(i) - 'a']) {           return false;         }       } else {         charToIdx.put(s.charAt(i), i);       }     }     return true;   } } ",O(n)
"class Solution {          private static enum Direction {         LEFT, RIGHT;     }          public boolean isMajorityElement(int[] nums, int target) {         int firstIndex = findIndex(nums, target, Direction.LEFT);         if (firstIndex == -1) {             return false;         }         int lastIndex = findIndex(nums, target, Direction.RIGHT);         int occurrences = lastIndex - firstIndex + 1;         return occurrences > nums.length / 2;     }      private int findIndex(int[] nums, int target, Direction direction) {         int idx = -1;         int start = 0;         int end = nums.length - 1;         while (start <= end) {             int mid = (start + end) / 2;             if (nums[mid] == target) {                 idx = mid;                 if (direction == Direction.LEFT) {                     end = mid - 1;                 } else {                     start = mid + 1;                 }             } else if (nums[mid] > target) {                 end = mid - 1;             } else {                 start = mid + 1;             }         }         return idx;     } } ",O(n)
"class Solution {     public boolean isAcronym(List<String> words, String s) {         StringBuilder sb = new StringBuilder();         for (String word : words) {             sb.append(word.charAt(0));         }         return sb.toString().equals(s);     } } ",O(n)
"class Solution {   public int isPrefixOfWord(String sentence, String searchWord) {     Node root = new Node('-');     String[] words = sentence.split(""\\s+"");     Map<String, Integer> indexMap = new HashMap<>();     for (int i = 0; i< words.length; i++) {       addWord(words[i], root, 0);       if (!indexMap.containsKey(words[i])) {         indexMap.put(words[i], i + 1);       }     }     for (int i = 0; i < searchWord.length(); i++) {       char c = searchWord.charAt(i);       if (!root.map.containsKey(c)) {         return -1;       }       root = root.map.get(c);     }     PriorityQueue<String> pq = new PriorityQueue<>(new Comparator<String>(){       public int compare(String s1, String s2) {         return indexMap.get(s1) - indexMap.get(s2);       }     });     pq.addAll(root.words);     return indexMap.get(pq.poll());   }      private void addWord(String s, Node root, int idx) {     if (idx == s.length()) {       return;     }     char c = s.charAt(idx);     if (!root.map.containsKey(c)) {       root.map.put(c, new Node(c));     }     Node next = root.map.get(c);     next.words.add(s);     addWord(s, next, idx + 1);   } }  class Node {   char c;   Map<Character, Node> map;   Set<String> words;      public Node(char c) {     this.c = c;     map = new HashMap<>();     words = new HashSet<>();   } } ",O(n^2)
class Solution {   public boolean checkString(String s) {     boolean aFound = false;     boolean bFound = false;     for (int i = 0; i < s.length(); i++) {       if (s.charAt(i) == 'a') {         if (bFound) {           return false;         }         aFound = true;       } else {         bFound = true;       }     }     return true;   } } ,O(n)
"class Solution {   public boolean areOccurrencesEqual(String s) {     return new HashSet<>(s.chars().mapToObj(c -> (char) c)         .collect(Collectors.groupingBy(Function.identity(), HashMap::new, Collectors.counting()))         .values()).size() == 1;   } } ",O(1)
"class Solution {   public boolean isCovered(int[][] ranges, int left, int right) {     Arrays.sort(ranges, Comparator.comparingInt((int[] o) -> o[0]));     for (int[] range : ranges) {       if (left >= range[0] && left <= range[1]) {         left = range[1] + 1;       }       if (left > right) {         return true;       }     }     return false;   } } ",O(n log n)
"class Solution {     public boolean isConsecutive(int[] nums) {         int min = Integer.MAX_VALUE;         for (int num : nums) {             min = Math.min(num, min);         }         Set<Integer> set = new HashSet<>();         for (int num : nums) {             if (num - min >= nums.length || !set.add(num - min)) {                 return false;             }         }         return true;     } } ",O(n^2)
"class Solution {     public boolean checkPrimeFrequency(int[] nums) {         Map<Integer, Integer> map = new HashMap<>();         for (int num : nums) {             map.put(num, map.getOrDefault(num, 0) + 1);         }         for (Integer value : map.values()) {             if (isPrime(value)) {                 return true;             }         }         return false;     }      private static boolean isPrime(int num) {         for (int i = 2; i <= num / 2; i++) {             if (num % i == 0) {                 return false;             }         }         return num > 1 && true;     } } ",O(n^2)
